จำนวนชุมชนประเภทต่าง ๆ ในกรุงเทพมหานคร พ.ศ. 2564,,,,,,
จำแนกตามสำนักงานเขต และประเภทของชุมชน,,,,,,
สำนักงานเขต,ประเภทชุมชน,,,,,รวม
,ชุมชนรูปแบบพิเศษ,ชานเมือง,เมือง,อาคารสูง,แออัด,
กลุ่มกรุงเทพกลาง,,,,,,
ดินแดง,-,-,10,5,8,23
ดุสิต,-,-,26,8,9,43
ป้อมปราบศัตรูพ่าย,-,-,4,-,10,14
พญาไท,-,-,-,9,13,22
พระนคร,-,-,15,-,5,20
ราชเทวี,-,-,-,7,18,25
วังทองหลาง,-,-,3,-,16,19
สัมพันธวงศ์,-,-,17,-,-,17
ห้วยขวาง,-,-,4,1,17,22
รวม,0,0,79,30,96,205
กลุ่มกรุงเทพใต้,,,,,,
คลองเตย,-,-,11,6,22,39
บางคอแหลม,-,-,1,1,26,28
บางนา,-,1,24,2,7,34
บางรัก,-,-,11,1,3,15
ปทุมวัน,-,-,2,3,12,17
พระโขนง,-,-,19,-,25,44
ยานนาวา,-,-,5,-,12,17
วัฒนา,-,-,2,-,14,16
สวนหลวง,-,-,43,-,2,45
สาทร,-,-,15,1,8,24
รวม,0,1,133,14,131,279
กลุ่มกรุงเทพเหนือ,,,,,,
จตุจักร,-,1,13,6,21,41
ดอนเมือง,-,1,78,-,17,96
บางเขน,-,2,56,8,7,73
บางซื่อ,-,-,2,1,47,50
ลาดพร้าว,-,2,28,2,4,36
สายไหม,-,6,68,1,4,79
หลักสี่,-,1,50,11,15,77
รวม,0,13,295,29,115,452
จำนวนชุมชนประเภทต่าง ๆ ในกรุงเทพมหานคร พ.ศ. 2564,,,,,,
จำแนกตามสำนักงานเขต และประเภทของชุมชน (ต่อ),,,,,,
สำนักงานเขต,ประเภทชุมชน,,,,,รวม
,ชานเมือง,เมือง,หมู่บ้านจัดสรร,อาคารสูง,แออัด,
กลุ่มกรุงเทพตะวันออก,,,,,,
คลองสามวา,-,56,28,-,-,84
คันนายาว,-,3,23,2,14,42
บางกะปิ,-,1,18,-,8,27
บึงกุ่ม,-,1,21,-,15,37
ประเวศ,-,1,38,3,3,45
มีนบุรี,-,31,30,1,1,63
ลาดกระบัง,-,30,33,1,1,65
สะพานสูง,-,21,4,-,4,29
หนองจอก,-,82,17,-,-,99
รวม,0,226,212,7,46,491
กลุ่มกรุงธนเหนือ,,,,,,
คลองสาน,-,-,5,-,29,34
จอมทอง,-,6,38,1,3,48
ตลิ่งชัน,-,27,8,-,8,43
ทวีวัฒนา,-,6,11,-,-,17
ธนบุรี,-,-,-,-,43,43
บางกอกน้อย,-,-,5,1,31,37
บางกอกใหญ่,-,-,2,-,28,30
บางพลัด,-,-,7,-,41,48
รวม,0,39,76,2,183,300
กลุ่มกรุงธนใต้,,,,,,
ทุ่งครุ,-,3,23,2,1,29
บางขุนเทียน,-,17,31,-,3,51
บางแค,-,5,19,-,23,47
บางบอน,-,3,7,-,2,12
ภาษีเจริญ,-,2,37,-,12,51
ราษฎร์บูรณะ,-,-,2,-,26,28
หนองแขม,-,42,26,1,2,71
รวม,0,72,145,3,69,289
รวมทั้งหมด,0,351,940,85,640,2016
แหล่งข้อมูล : สำนักงานการพัฒนาชุมชน สำนักพัฒนาสังคม กรุงเทพมหานคร (ข้อมูล ณ วันที่ 25 เม.ย. 65),,,,,,
หมายเหตุ : ระเบียบกรุงเทพมหานครว่าด้วยชุมชนและกรรมการชุมชน พ.ศ. 2564 ชุมชนแบ่งออกเป็น 5 ประเภท ได้แก่,,,,,,
หมายเหตุ : ชุมชนแออัด / ชุมชนเมือง / ชุมชนชาญเมือง / ชุมชนอาคารสูง / ชุมชนรูปแบบพิเศษ,,,,,,
